epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17409,1.35501,4.46135,1.14765,0.00644,0.23204,0.03212,0.02497,1.21243,3.86455,0.97962,0.00011662,0.00011662,0.00011662
2,7.23201,1.28084,3.93908,1.07969,0.00728,0.50896,0.05614,0.0406,1.17677,3.74062,0.94898,0.000239976,0.000239976,0.000239976
3,10.4245,1.2719,3.25324,1.07412,0.88471,0.03035,0.10334,0.06059,1.24824,3.38546,0.99413,0.000361682,0.000361682,0.000361682
4,13.5181,1.30835,2.63865,1.11392,0.99027,0.03017,0.14056,0.09723,1.25355,3.26629,0.9935,0.000481739,0.000481739,0.000481739
5,16.5858,1.33319,2.3771,1.09445,0.9467,0.028,0.18539,0.13388,1.19684,3.24777,0.9826,0.000600147,0.000600147,0.000600147
6,19.7046,1.2803,2.12678,1.09492,0.8863,0.14052,0.48211,0.30985,1.26501,2.42349,1.01401,0.000716905,0.000716905,0.000716905
7,22.8134,1.27845,1.92082,1.0974,0.76282,0.3536,0.63148,0.39768,1.30178,2.1277,1.05553,0.000800013,0.000800013,0.000800013
8,25.8589,1.25178,1.84103,1.10344,0.6352,0.62958,0.69645,0.44367,1.2707,1.53992,1.04192,0.000794515,0.000794515,0.000794515
9,28.9016,1.29701,1.83626,1.07861,0.68317,0.71625,0.74019,0.47376,1.24862,1.33643,1.07309,0.000789018,0.000789018,0.000789018
10,31.9307,1.29897,1.7937,1.12555,0.77486,0.73638,0.78623,0.50127,1.27087,1.20024,1.07971,0.00078352,0.00078352,0.00078352
11,34.9231,1.25321,1.72337,1.07627,0.8048,0.8,0.82916,0.5345,1.2402,1.11397,1.07546,0.000778022,0.000778022,0.000778022
12,37.9153,1.26537,1.54587,1.07455,0.74952,0.75298,0.79988,0.51793,1.21999,1.14548,1.06753,0.000772524,0.000772524,0.000772524
13,40.872,1.22676,1.5242,1.08319,0.82455,0.77803,0.85568,0.55523,1.17772,1.07638,1.03329,0.000767026,0.000767026,0.000767026
14,43.8458,1.17408,1.45205,1.04939,0.7993,0.81337,0.86694,0.55548,1.18021,0.96747,1.01641,0.000761529,0.000761529,0.000761529
15,46.8592,1.17799,1.4395,1.05234,0.81879,0.82435,0.89585,0.57194,1.22563,1.01181,1.04013,0.000756031,0.000756031,0.000756031
16,49.9336,1.19305,1.4101,1.05083,0.87954,0.84747,0.90469,0.5967,1.17867,0.91721,1.0169,0.000750533,0.000750533,0.000750533
17,52.8809,1.20124,1.40138,1.06655,0.88087,0.84612,0.90738,0.61312,1.17957,0.86558,1.02889,0.000745035,0.000745035,0.000745035
18,55.8511,1.1706,1.34057,1.07449,0.87803,0.79315,0.91697,0.61505,1.17575,0.92846,1.03237,0.000739537,0.000739537,0.000739537
19,58.8637,1.19205,1.31454,1.07809,0.87591,0.83928,0.92801,0.61106,1.16226,0.85417,1.02406,0.00073404,0.00073404,0.00073404
20,61.8357,1.12689,1.23839,1.04208,0.85863,0.88629,0.91721,0.61497,1.16253,0.8302,1.02702,0.000728542,0.000728542,0.000728542
21,64.8099,1.19408,1.2896,1.04456,0.88075,0.85842,0.9191,0.61403,1.14814,0.85825,1.00632,0.000723044,0.000723044,0.000723044
22,67.8847,1.12288,1.20539,1.06032,0.87392,0.87916,0.93651,0.63874,1.13524,0.80468,0.995,0.000717546,0.000717546,0.000717546
23,70.8882,1.15966,1.22067,1.04366,0.87856,0.89648,0.93254,0.64232,1.10134,0.82274,0.99404,0.000712048,0.000712048,0.000712048
24,73.7845,1.11998,1.18924,1.06608,0.83399,0.9015,0.9214,0.62655,1.1087,0.79982,0.99536,0.000706551,0.000706551,0.000706551
25,76.6415,1.17958,1.16646,1.05317,0.88428,0.88364,0.92504,0.63881,1.09759,0.78714,0.99948,0.000701053,0.000701053,0.000701053
26,79.6232,1.13618,1.13587,1.04246,0.87992,0.90703,0.94228,0.6492,1.10386,0.75811,1.01979,0.000695555,0.000695555,0.000695555
27,82.6459,1.07936,1.09722,1.03358,0.87126,0.89811,0.92619,0.63845,1.07458,0.77615,0.99698,0.000690057,0.000690057,0.000690057
28,85.5223,1.10796,1.15267,1.07339,0.88956,0.85146,0.93966,0.63929,1.11164,0.80254,1.01421,0.000684559,0.000684559,0.000684559
29,88.3727,1.10784,1.11922,1.0667,0.89146,0.87875,0.94754,0.655,1.07214,0.7633,0.98759,0.000679062,0.000679062,0.000679062
30,91.2824,1.08675,1.09031,1.02454,0.89463,0.91141,0.94785,0.65098,1.11125,0.83042,0.99963,0.000673564,0.000673564,0.000673564
31,94.1926,1.10851,1.07683,1.05652,0.92977,0.9028,0.9575,0.6591,1.06866,0.73839,0.98762,0.000668066,0.000668066,0.000668066
32,97.1608,1.09191,1.06854,1.01409,0.91947,0.92888,0.96737,0.67629,1.06319,0.71152,0.97912,0.000662568,0.000662568,0.000662568
33,100.057,1.06826,1.02731,1.02065,0.9137,0.93021,0.95772,0.6512,1.07515,0.71046,0.98405,0.00065707,0.00065707,0.00065707
34,102.919,1.11037,1.00536,1.04119,0.91011,0.91172,0.95561,0.65367,1.08252,0.76786,0.98558,0.000651573,0.000651573,0.000651573
35,105.778,1.08842,1.02285,1.04095,0.90483,0.91187,0.96096,0.66196,1.05163,0.72925,0.98562,0.000646075,0.000646075,0.000646075
36,108.71,1.05011,0.96266,1.039,0.94221,0.9062,0.96679,0.6773,1.04647,0.69798,0.97385,0.000640577,0.000640577,0.000640577
37,111.633,1.0593,0.98345,1.01017,0.92525,0.92483,0.96922,0.68534,1.04763,0.6881,0.97766,0.000635079,0.000635079,0.000635079
38,114.547,1.07088,0.95461,1.01838,0.9204,0.9177,0.9676,0.68566,1.08066,0.67833,0.97976,0.000629581,0.000629581,0.000629581
39,117.489,1.07418,0.96879,1.00891,0.91078,0.93974,0.96621,0.68153,1.0606,0.64806,0.98026,0.000624084,0.000624084,0.000624084
40,120.363,1.09541,0.92088,1.00092,0.90311,0.94992,0.96585,0.6907,1.02107,0.64043,0.97174,0.000618586,0.000618586,0.000618586
41,123.263,1.05838,0.9397,1.01781,0.93967,0.92268,0.96319,0.6945,0.99813,0.64175,0.95139,0.000613088,0.000613088,0.000613088
42,126.09,0.99593,0.88173,1.01645,0.90927,0.93345,0.97123,0.7027,1.01365,0.62971,0.96418,0.00060759,0.00060759,0.00060759
